Probe,GeneID,Symbol,Distance,Sides,Raw.p
cg00045114,ENSG00000076258,FMO4,-1362935,L10,0.3277436782366483
cg00045114,ENSG00000117523,PRRC2C,-1111508,L9,0.8257944446575478
cg00045114,ENSG00000034971,MYOC,-1052335,L8,2.793971896645366e-4
cg00045114,ENSG00000117533,VAMP4,-962771,L7,0.9949304099012996
cg00045114,ENSG00000010165,METTL13,-890995,L6,0.9960254845631505
cg00045114,ENSG00000197959,DNM3,-286552,L5,0.809805687762525
cg00045114,ENSG00000135845,PIGC,-260928,L4,0.9999998201725944
cg00045114,ENSG00000180999,C1orf105,-236187,L3,0.7877236651035106
cg00045114,ENSG00000094975,SUCO,-93187,L2,0.9999946129926159
cg00045114,ENSG00000117560,FASLG,-38144,L1,0.3927228171634224
cg00045114,ENSG00000120337,TNFSF18,334939,R1,0.528643284146374
cg00045114,ENSG00000117586,TNFSF4,478712,R2,0.5090495093544274
cg00045114,ENSG00000117592,PRDX6,772244,R3,0.9999979396265202
cg00045114,ENSG00000162753,SLC9C2,795442,R4,3.997835775036696e-5
cg00045114,ENSG00000183831,ANKRD45,904539,R5,0.0025118850443153393
cg00045114,ENSG00000076321,KLHL20,1009919,R6,0.9822324859913796
cg00045114,ENSG00000120334,CENPL,1094527,R7,0.9962000996653416
cg00045114,ENSG00000117593,DARS2,1119480,R8,0.9998845870126007
cg00045114,ENSG00000234741,GAS5,1158877,R9,1
cg00045114,ENSG00000208317,SNORD78,1160599,R10,1
cg00050294,ENSG00000116151,MORN1,-563671,L10,0.9526569377864642
cg00050294,ENSG00000157916,RER1,-549934,L9,0.49095049064557256
cg00050294,ENSG00000157911,PEX10,-541581,L8,2.2513275621030652e-4
cg00050294,ENSG00000149527,PLCH2,-449848,L7,0.08091374799881729
cg00050294,ENSG00000157881,PANK4,-428778,L6,0.030372202309454352
cg00050294,ENSG00000197921,HES5,-425133,L5,0.12802443161753366
cg00050294,ENSG00000157873,TNFRSF14,-389996,L4,0.9888052386905516
cg00050294,ENSG00000157870,FAM213B,-363909,L3,0.58089018686895455
cg00050294,ENSG00000142606,MMEL1,-322336,L2,0.8703838779658664
cg00050294,ENSG00000169717,ACTRT2,51226,L1,0.7244076131764386
cg00050294,ENSG00000177133,LINC00982,89359,R1,0.9999958694674121
cg00050294,ENSG00000142611,PRDM16,98912,R2,0.9999877599636063
cg00050294,ENSG00000130762,ARHGEF16,484170,R3,0.046601175563336435
cg00050294,ENSG00000162591,MEGF6,519664,R4,0.9603156593811841
cg00050294,ENSG00000158109,TPRG1L,654746,R5,0.12833749171499442
cg00050294,ENSG00000116213,WRAP73,660511,R6,0.005295336831886253
cg00050294,ENSG00000078900,TP73,682264,R7,0.021352213208698335
cg00050294,ENSG00000227372,TP73-AS1,765728,R8,0.5331461526335234
cg00050294,ENSG00000162592,CCDC27,782142,R9,0.9955135661356613
