probe,pvalue,Primary.solid.Tumor_Minus_Solid.Tissue.Normal,adjust.p
cg23733394,0.002841359638752459,-0.17678290312930517,0.0033473280101783505
cg23625715,0.9731444422143845,0.001244960221871514,0.9968790126490796
cg26222311,0.07486376917615037,-0.0013316770241758903,0.08153336255659502
cg18432292,6.267769503684168e-4,-0.14299643196527206,7.763382637823195e-4
cg24517686,1.8111338136496174e-26,-0.22422513483266288,2.2801363758409736e-25
cg23926866,3.232187555012645e-11,-0.10658577804315333,9.516056553763233e-11
cg17094363,0.007612855880588279,-0.20127866602008532,0.00870704262410334
cg21862126,1.8767808446930727e-4,-0.21440868484848635,2.450564462072147e-4
cg24158844,1.819394144007998e-5,-0.21800051058022268,2.7355774696448242e-5
cg25772221,0.0015018506790779723,-0.17870214574490578,0.0018032897477612381
cg25340711,3.898829340736982e-5,-0.3193080953822465,5.531812529708401e-5
cg06767191,1.2185109621453363e-5,-0.1313140525843699,1.8911021096036636e-5
cg14166948,3.743735847540797e-7,-0.2251991525167833,7.152528170782927e-7
cg15414773,2.0026193269463473e-25,-0.22781145207502906,2.1937784445184986e-24
cg13360866,5.174605287134304e-5,-0.06052032217967704,7.197392490305315e-5
cg20996124,5.1355017284501e-4,-0.2248850660152981,6.403245688023148e-4
cg09812885,0.0011989055345277718,-0.056875043533231584,0.0014540284951461905
cg14830045,3.862322915269055e-4,-0.14068746738383375,4.877049968606958e-4
cg10784110,4.123585361505072e-8,-0.106073073616132,8.895765351482171e-8
cg12108798,1.7249287074038172e-21,-0.16070079275557697,1.2024606319794378e-20
cg20411340,2.075677681083216e-6,-0.07505536463841556,3.6025393497812606e-6
cg24852892,5.4186249429576675e-24,-0.4664679913954474,4.941200150686262e-23
cg18224942,1.4957503214827586e-5,-0.12976144820939933,2.2814925789705367e-5
cg06358191,2.617048065826191e-9,-0.3832813298277108,6.361613958283551e-9
cg20978193,5.715317333758964e-4,-0.08479313327915827,7.09995606925727e-4
cg08160862,0.0028242037084317832,-0.08071890139486304,0.0033298667758915952
cg18024631,6.672024740145123e-8,-0.1368595171553877,1.401706816516167e-7
cg06646682,8.147635834256392e-18,-0.4730666328473097,4.1276461418590186e-17
cg14992101,0.9653973552882646,0.01199907573391662,0.9900457984020076
cg20255272,0.005725687849129584,-0.04700574758762105,0.006566441469396063
cg13798621,1.4877191999503783e-5,-0.322046394116018,2.2712961903314825e-5
cg24687970,2.9462188048486196e-5,-0.07051368027484484,4.237230284552107e-5
cg15844005,2.1049918716271655e-30,-0.3818866287329394,4.0817486062471587e-29
cg06205922,2.3028658972781394e-22,-0.3646617268091259,1.7820801691322116e-21
cg12270813,4.554478474886721e-22,-0.4333805687458846,3.384759994332114e-21
cg16305094,9.477460863171358e-26,-0.38738536799549506,1.0803024646060866e-24
cg26908276,4.3929867582501913e-23,-0.4382524285213245,3.6507234784079173e-22
cg16277776,3.9435666575761324e-26,-0.3948792800407884,4.75199782237924e-25
cg24044259,3.182436941506183e-6,-0.08619251530854977,5.368771120320931e-6
cg22707691,0.0012120708137528262,-0.0634320124602169,0.001467884754343875
cg24163210,0.45723487461859086,-9.831019176837208e-4,0.48119478071214145
cg16652392,3.1554110162091244e-10,-0.08858593579155002,8.422750608140495e-10
cg21776599,3.8838763205337155e-12,-0.186291427266135,1.2133517319889589e-11
cg24706992,3.5548415533220675e-12,-0.36855267298685107,1.1209378879353885e-11
cg22962923,1.8777083677038173e-22,-0.33986830976118715,1.466525007553861e-21
cg16926213,1.2772955282572602e-15,-0.31464014292029596,5.204825014903376e-15
cg19630039,7.9735608938176e-27,-0.3708023800300207,1.0190452445356283e-25
cg06082439,2.8457879501600785e-25,-0.39072068286937756,3.0385090328607923e-24
cg24315049,2.0184595256151645e-20,-0.37889356425226806,1.2753337901546e-19
cg14839558,8.520638493809147e-11,-0.5304731647612648,2.415851620009417e-10
cg24495298,1.6735107120308732e-9,-0.12713087535790246,4.151783192935416e-9
cg05035280,1.3150876449928974e-8,-0.22036071110620542,2.9541316339587457e-8
cg10331922,1.7987589978454957e-18,-0.3586826770677305,9.572575486956943e-18
cg13788313,4.050216025068711e-7,-0.30025339536437484,7.703172981162249e-7
cg23288755,1.1128640393735112e-4,-0.20243042511669124,1.488819694229273e-4
cg24105782,1.464052846557694e-4,-0.19281116413081845,1.937142864425749e-4
cg00889627,7.242015124501615e-25,-0.4620107595648073,7.359806936767604e-24
cg04781796,1.2333564204761203e-49,-0.6967509349790233,1.0403361406716075e-46
cg14522944,1.1991173941485598e-11,-0.4092726776595565,3.60590203908845e-11
cg14087574,1.0876689916815658e-19,-0.232402862305084,6.305489996449489e-19
cg15356494,2.9662745295906975e-5,-0.13217354946357757,4.255191438281893e-5
cg18120323,6.287319112757937e-11,-0.22710507819876952,1.8007992093756605e-10
cg05463656,0.9990034854898384,0.08113853087901446,1
cg03580279,6.700010003714165e-5,-0.05474734787661295,9.219344923544694e-5
cg08732456,0.0030728857430772447,-0.08242830425335523,0.0036011955664773687
cg12718519,0.0051047830815483895,-0.08269575165211646,0.005874330872150159
cg13480549,1.6363399543010634e-5,-0.06903301422517938,2.4691462458907816e-5
cg18188739,0.16067557100587238,-0.02060514958850007,0.17320107877757615
cg15481172,0.0012747965660868034,-0.048937752829855075,0.001539428637786999
cg15468976,6.672598653170901e-5,-0.26699567741207575,9.189121573795355e-5
cg23648809,6.636414098858848e-7,-0.2582296443966066,1.2357208150965648e-6
cg21775570,0.4299045676552235,-0.0031491053777650546,0.4529975050808007
cg16315417,0.0013367668583420117,-0.14491393214589726,0.0016119554610600241
cg12483545,0.9999999985582964,0.3846757283706501,1
cg16902087,1.1103326850061739e-6,-0.08236245601232994,1.9941035737016895e-6
cg00715290,1.7633078624466366e-12,-0.1143620830071923,5.666095931328525e-12
cg23022809,0.011435155956129714,-0.04624097612546044,0.012938368945667892
cg12552820,3.378326198216689e-4,-0.12618383506008568,4.311071328586653e-4
cg13850019,0.06367519893632093,-0.01810866419797179,0.06952754731752324
cg06784691,0.04696010336819991,-0.023238428425681676,0.05154306726229879
cg03324138,3.373461532013935e-33,-0.352232640060191,9.179080007270175e-32
cg00093522,1.1433384781111902e-23,-0.3596944185525174,9.993844624733565e-23
cg21107210,0.011874309129570788,-0.028937373368501454,0.013417253517472149
cg22708961,4.4449997163922466e-14,-0.15386144725542594,1.6337068674408976e-13
cg02896354,1.4080157388433735e-31,-0.2598182059185069,3.006737406871862e-30
cg16600733,1.3217721987377132e-7,-0.3901212919255821,2.670454729665296e-7
cg11380092,5.910447991441108e-11,-0.16919638085617916,1.704431754113017e-10
cg15009913,2.347529671869684e-16,-0.25952838667481026,1.0259799369026313e-15
